Intent	Sentence
collaborazioni	Ricercate personale?
lista_preferiti	Ho fatto una lista che non ritrovo
modifica_password	Come modifico la password?
info_newsletter	Iscrizione newsletter
consegna_costo	spese spedizione
errore_aggiunta_familiare	Mio figlio è minorenne, posso inserirlo?
costo_servizio	Mi sai dire se il vostro è a pagamento ?
mancato_accredito_punti	Non mi avete caricato i punti
contatti_punti_vendita	avrei bisogno della lista contatti punti vendita
new_covid_19	Sono diabetica ed affetta da emocromatosi. Come mi difendo da coronavirus
promozioni	Ci sono promozioni attive?
info_ingredienti_allergeni	Lista ingredienti
password_dimenticata	ho dimenticato le mie credenziali
fare_spesa	Consegnate entro quanti kilometri?
agenda_bloccata	non mi fa accedere all'agenda
modalita_pagamento	Come pago?
carrello_spesa	Carrello della spesa?
costo_servizio	volevo sapere prima di scaricare la app sul telefono se questo servizio è a pagamento, perchè mi appare una strana schermata di richiesta autorizzazione a pagamenti quando sto per scaricare
modifica_dati_anagrafici	Mi sono iscritta ma non riesco a inserire i dati
cambiare_orario_consegna	Se ho già inserito un orario per la consegna ma voglio cambiarlo come faccio?
modalita_pagamento	Come avviene il pagamento?
errore_codice_fiscale	Il codice fiscale risulta errato
agenda_bloccata	l'agenda non funziona
fattura	Avrei bisogno di una fattura
errore_conclusione_ordine	Ordine spesa non trovato
info_registrazione_azienda	Vorrei registrare la mia azienda
errore_codice_fiscale	Ho problemi di inserimento del codice fiscale
prodotto_irreperibile	Non trovo il prodotto desiderato
contenuti_blog	Vorrei scrivere un articolo sul vostro blog
email_modifica	Email nuova che faccio?
citta_consegna	A barisardo si fa la spesa del CRAI online
modifica_ordine	Modifica all'ordine online effettuato
errore_conclusione_ordine	Non riesco a concludere l'acquisto
accesso_limitato	Mi compare la scritta accesso limitato se clicco da app perchè?
scaricare_app	download app info
orari_negozi	orari ritiro
modifica_preferiti	Ho inserito i dati del mio medico, farmacia della mia zona ecc ma non riesco a salvarli.
consegna_a_domicilio	Consegne presso domicilio
